2026-03-19 12:04:56,122 | INFO    | Saved split_custom.json
2026-03-19 12:04:56,122 | INFO    | --- Loading tokenizer ---
2026-03-19 12:04:56,122 | INFO    | Loading tokenizer: /Users/nkancharapu/Documents/mi/models/CodeLlama-7b-hf
2026-03-19 12:04:58,734 | INFO    | --- Loading model ---
2026-03-19 12:05:01,254 | INFO    | Loading model: /Users/nkancharapu/Documents/mi/models/CodeLlama-7b-hf
2026-03-19 12:05:16,495 | INFO    | Model loaded in 15.2s on mps:0 (GPU/cuda: False, MPS: True)
2026-03-19 12:05:16,499 | INFO    | --- Extracting activations ---
2026-03-19 12:05:16,502 | INFO    | Split custom: extracting 15 prompts x 8 layers
2026-03-19 12:05:18,213 | INFO    | Split custom: extraction done in 1.7s
2026-03-19 12:05:18,213 | INFO    | Activation extraction complete
2026-03-19 12:05:18,213 | INFO    | --- Generating answers ---
2026-03-19 12:05:18,213 | INFO    | Split custom: generating for 15 problems
2026-03-19 12:05:18,213 | INFO    | Running model.generate() in batches (batch_size=8, max_new_tokens=512) — wait for 'generation done' log.
2026-03-19 12:11:48,430 | INFO    | ============================================================
2026-03-19 12:11:48,430 | INFO    | Code Geometry Pipeline
2026-03-19 12:11:48,430 | INFO    | ============================================================
2026-03-19 12:11:48,430 | INFO    | --- Loading code problems ---
2026-03-19 12:11:48,431 | INFO    | Loaded JSON data/quick_test_problems.json: 3 problems
2026-03-19 12:11:48,431 | INFO    | --- Computing labels ---
2026-03-19 12:11:48,431 | INFO    | Split custom: computed 3 label sets
2026-03-19 12:11:48,431 | INFO    | --- Saving datasets ---
2026-03-19 12:11:48,431 | INFO    | Saved split_custom.json
2026-03-19 12:11:48,432 | INFO    | --- Loading tokenizer ---
2026-03-19 12:11:48,432 | INFO    | Loading tokenizer: /Users/nkancharapu/Documents/mi/models/CodeLlama-7b-hf
2026-03-19 12:11:50,348 | INFO    | --- Loading model ---
2026-03-19 12:11:51,939 | INFO    | Loading model: /Users/nkancharapu/Documents/mi/models/CodeLlama-7b-hf
2026-03-19 12:12:02,515 | INFO    | Model loaded in 10.6s on mps:0 (GPU/cuda: False, MPS: True)
2026-03-19 12:12:02,516 | INFO    | --- Extracting activations ---
2026-03-19 12:12:02,516 | INFO    | Split custom: extracting 3 prompts x 3 layers
2026-03-19 12:12:04,150 | INFO    | Split custom: extraction done in 1.6s
2026-03-19 12:12:04,150 | INFO    | Activation extraction complete
2026-03-19 12:12:04,150 | INFO    | --- Generating answers ---
2026-03-19 12:12:04,150 | INFO    | Split custom: generating for 3 problems
2026-03-19 12:12:04,150 | INFO    | Running model.generate() in batches (batch_size=1, max_new_tokens=512) — wait for 'generation done' log.
